"id","name","code"
10639,"Badajoz Airport","BJZ"
10640,"Buckland Airport","BKC"
10641,"Baker City Municipal","BKE"
10642,"Brooks Lake Airport","BKF"
10643,"Branson Airport","BKG"
10644,"Barking Sands Pacific Missile Range Facility","BKH"
10645,"Kota Kinabalu International","BKI"
10646,"Bangkok International","BKK"
10647,"Burke Lakefront","BKL"
10648,"Bakelalan Airport","BKM"
10650,"Modibo Keita","BKO"
10651,"Blackall Airport","BKQ"
10652,"Fatmawati Soekarno","BKS"
10653,"Betioky Airport","BKU"
10654,"Raleigh County Memorial","BKW"
10655,"Brookings Regional","BKX"
10656,"Bukavu Kavumu","BKY"
10657,"Bukoba Airport","BKZ"
10658,"Campo Nuevo","BLA"
10659,"Albrook AFB","BLB"
10660,"Bali Airport","BLC"
10661,"Boulder City Municipal","BLD"
10662,"Borlange Airport","BLE"
10663,"Mercer County","BLF"
10664,"Belaga Airport","BLG"
10665,"Blythe Airport","BLH"
10666,"Bellingham International","BLI"
10667,"Mostepha Ben Boulaid","BLJ"
10668,"Blackpool Airport","BLK"
10669,"Billund Airport","BLL"
10670,"Monmouth Executive","BLM"
10671,"Blonduos Airport","BLO"
10672,"Bellavista 1","BLP"
10673,"Bologna Airport","BLQ"
10674,"Bangalore Airport","BLR"
10675,"Blackwater Airport","BLT"
10676,"Scott AFB","BLV"
10677,"Chileka International","BLZ"
10678,"Bromma","BMA"
10679,"Bumba Airport","BMB"
10680,"Brigham City Airport","BMC"
10681,"Belo Airport","BMD"
10682,"Broome International","BME"
10683,"Monroe County","BMG"
10684,"Bomai Airport","BMH"
10685,"Central Il Regional Airport at Bloomington","BMI"
10686,"Baramita Airport","BMJ"
10687,"Berlin Municipal","BML"
10688,"Bitam Airport","BMM"
10689,"Banmaw","BMO"
10690,"Brampton Island Airport","BMP"
10691,"Bordj Mokhtar","BMW"
10692,"Big Mountain AFS","BMX"
10693,"Nashville International","BNA"
10694,"Boende Airport","BNB"
10695,"Bandar Abbas International","BND"
10696,"Brisbane International","BNE"
10697,"Warm Spring Bay Seaplane Base","BNF"
10698,"Banning Municipal","BNG"
10699,"Benin City Airport","BNI"
10700,"Ballina Byron Gateway","BNK"
10701,"Barnwell County","BNL"
10702,"Bronnoy","BNN"
10703,"Burns Municipal","BNO"
10704,"Barinas Airport","BNS"
10705,"Banja Luka Airport","BNX"
10706,"Banz Airport","BNZ"
10707,"Boma Airport","BOA"
10708,"Bora Bora Motu Mute","BOB"
10709,"Bocas del Toro International","BOC"
10710,"Bordeaux Merignac","BOD"
10711,"El Dorado International","BOG"
10712,"Bournemouth Airport","BOH"
10713,"Boise Air Terminal","BOI"
10714,"Burgas Airport","BOJ"
10715,"Brookings Airport","BOK"
10716,"Chhatrapati Shivaji International","BOM"
10717,"Flamingo","BON"
10718,"Bodo Airport","BOO"
10719,"Boku Airport","BOQ"
10720,"Fontaine","BOR"
10721,"Logan International","BOS"
10722,"Bartow Executive","BOW"
10723,"Borroloola Airport","BOX"
10724,"Bobo Dioulasso Airport","BOY"
10725,"Bislig Airport","BPH"
10726,"Sepinggan","BPN"
10727,"Porto Seguro Airport","BPS"
10728,"Jack Brooks Regional","BPT"
10729,"Baler Airport","BQA"
10730,"Biggin Hill","BQH"
10731,"Brunswick Golden Isles","BQK"
10732,"Rafael Hernandez","BQN"
10733,"Blagoveshchensk","BQS"
10734,"J. F. Mitchell","BQU"
10735,"Bartlett Cove Seaplane Base","BQV"
10736,"Aeroporto Regional de Pato Branco","BR1"
10737,"Barreiras Airport","BRA"
10738,"San Carlos de Bariloche Airport","BRC"
10739,"Brainerd Lakes Regional","BRD"
10740,"Bremen Airport","BRE"
10741,"Whitesburg Municipal","BRG"
10742,"Bari Airport","BRI"
10743,"Bourke Airport","BRK"
10744,"Burlington Municipal","BRL"
10745,"Barquisimeto International","BRM"
10746,"Bern","BRN"
10747,"Brownsville South Padre Island International","BRO"
10748,"Turany","BRQ"
10749,"Barra Airport","BRR"
10750,"Bristol Airport","BRS"
10751,"Bathurst Island Airport","BRT"
10752,"Brussels National","BRU"
10753,"Bremerhaven AAF","BRV"
10754,"Wiley Post/Will Rogers Memorial","BRW"
10755,"Barahona Habanero","BRX"
10756,"Samuels Field","BRY"
10757,"Bosaso Airport","BSA"
10758,"Brasilia International","BSB"
10759,"Baoshan Airport","BSD"
10760,"Bata Airport","BSG"
10761,"Mohamed Khider","BSK"
10762,"EuroAirport","BSL"
10763,"Bergstrom AFB","BSM"
10764,"Basco Airport","BSO"
10765,"Bisbee Municipal","BSQ"
10766,"Basrah International","BSR"
10767,"Balsas Airport","BSS"
10768,"Basankusu Airport","BSU"
10769,"Boswell Bay Airport","BSW"
10770,"Bartletts Airport","A2K"
10771,"Bertoua Airport","BTA"
10772,"Batticaloa Airport","BTC"
10773,"Bonthe Airport","BTE"
10774,"Batu Besar Airport","BTH"
10775,"Barter Island Airport","BTI"
10776,"Blangbintang","BTJ"
10777,"Bratsk Airport","BTK"
10778,"Battle Creek Executive at Kellogg Field","BTL"
10779,"Bert Mooney","BTM"
10780,"Butler County/K. W. Scholter Field","BTP"
10781,"Baton Rouge Metropolitan/Ryan Field","BTR"
10782,"Ivanka","BTS"
10783,"Bettles Airport","BTT"
10784,"Bintulu Airport","BTU"
10785,"Burlington International","BTV"
10786,"Beatty Airport","BTY"
10787,"Bursa Airport","BTZ"
10788,"Buka","BUA"
10789,"Burketown Airport","BUC"
10790,"Budapest Liszt Ferenc International","BUD"
10791,"Buenos Aires Metropolitan Area","BUE"
10792,"Buffalo Niagara International","BUF"
10793,"17 de Setembro","BUG"
10794,"Bucharest Metropolitan Area","BUH"
10795,"Bulolo Airport","BUL"
10796,"Butler Memorial","BUM"
